Hand,win%,tie%,loss%
"10 of Diamonds, 2 of Clubs",11.5,3.0,85.5
"10 of Diamonds, 3 of Clubs",12.5,2.9,84.6
"10 of Diamonds, 4 of Clubs",11.9,3.2,84.9
"10 of Diamonds, 5 of Clubs",12.3,3.1,84.7
"10 of Diamonds, 6 of Clubs",14.4,2.6,83.0
"10 of Diamonds, 7 of Clubs",15.3,3.0,81.7
"10 of Diamonds, 8 of Clubs",15.9,2.8,81.3
"10 of Diamonds, 9 of Clubs",17.9,2.8,79.3
"10 of Diamonds, 10 of Clubs",29.0,0.7,70.3
"10 of Diamonds, J of Clubs",20.9,2.5,76.6
"10 of Diamonds, Q of Clubs",22.3,3.0,74.7
"10 of Diamonds, K of Clubs",24.8,2.9,72.2
"10 of Diamonds, A of Clubs",28.9,3.2,67.9
"J of Diamonds, 2 of Clubs",12.4,2.8,84.9
"J of Diamonds, 3 of Clubs",13.3,2.4,84.3
"J of Diamonds, 4 of Clubs",14.0,2.8,83.2
"J of Diamonds, 5 of Clubs",13.7,3.2,83.2
"J of Diamonds, 6 of Clubs",15.1,2.8,82.2
"J of Diamonds, 7 of Clubs",16.0,2.9,81.2
"J of Diamonds, 8 of Clubs",16.9,2.6,80.5
"J of Diamonds, 9 of Clubs",18.8,2.9,78.2
"J of Diamonds, 10 of Clubs",21.2,2.9,75.9
"J of Diamonds, J of Clubs",32.4,0.8,66.8
"J of Diamonds, Q of Clubs",23.2,2.4,74.3
"J of Diamonds, K of Clubs",25.8,2.6,71.6
"J of Diamonds, A of Clubs",30.6,2.9,66.5
"Q of Diamonds, 2 of Clubs",15.5,3.1,81.3
"Q of Diamonds, 3 of Clubs",17.0,3.1,79.9
"Q of Diamonds, 4 of Clubs",16.1,3.3,80.7
"Q of Diamonds, 5 of Clubs",16.2,3.5,80.3
"Q of Diamonds, 6 of Clubs",16.8,3.2,80.0
"Q of Diamonds, 7 of Clubs",17.0,3.2,79.9
"Q of Diamonds, 8 of Clubs",18.6,3.0,78.4
"Q of Diamonds, 9 of Clubs",20.8,2.8,76.4
"Q of Diamonds, 10 of Clubs",22.0,2.9,75.0
"Q of Diamonds, J of Clubs",22.4,2.5,75.2
"Q of Diamonds, Q of Clubs",37.1,0.7,62.3
"Q of Diamonds, K of Clubs",26.0,2.5,71.6
"Q of Diamonds, A of Clubs",31.2,2.7,66.0
"K of Diamonds, 2 of Clubs",18.8,3.5,77.7
"K of Diamonds, 3 of Clubs",18.9,3.8,77.3
"K of Diamonds, 4 of Clubs",19.2,3.5,77.3
"K of Diamonds, 5 of Clubs",20.3,3.4,76.3
"K of Diamonds, 6 of Clubs",21.2,3.9,75.0
"K of Diamonds, 7 of Clubs",20.8,3.7,75.5
"K of Diamonds, 8 of Clubs",20.3,3.2,76.5
"K of Diamonds, 9 of Clubs",22.8,3.0,74.2
"K of Diamonds, 10 of Clubs",25.1,2.5,72.4
"K of Diamonds, J of Clubs",25.8,2.4,71.8
"K of Diamonds, Q of Clubs",26.2,2.4,71.4
"K of Diamonds, K of Clubs",44.7,0.5,54.8
"K of Diamonds, A of Clubs",32.5,2.4,65.1
"A of Diamonds, 2 of Clubs",25.7,4.4,69.9
"A of Diamonds, 3 of Clubs",26.1,4.3,69.6
"A of Diamonds, 4 of Clubs",25.7,4.4,69.9
"A of Diamonds, 5 of Clubs",26.1,4.3,69.5
"A of Diamonds, 6 of Clubs",24.3,4.3,71.4
"A of Diamonds, 7 of Clubs",25.7,4.0,70.3
"A of Diamonds, 8 of Clubs",26.1,4.1,69.8
"A of Diamonds, 9 of Clubs",25.4,3.5,71.1
"A of Diamonds, 10 of Clubs",28.8,3.3,67.9
"A of Diamonds, J of Clubs",30.2,3.2,66.6
"A of Diamonds, Q of Clubs",31.5,2.6,65.9
"A of Diamonds, K of Clubs",31.8,2.5,65.7
"A of Diamonds, A of Clubs",56.0,0.6,43.4
"2 of Diamonds, 3 of Diamonds",14.1,1.9,84.0
"2 of Diamonds, 4 of Diamonds",14.2,1.8,84.0
"2 of Diamonds, 5 of Diamonds",14.5,1.9,83.6
"2 of Diamonds, 6 of Diamonds",14.0,2.0,84.0
"2 of Diamonds, 7 of Diamonds",14.0,2.2,83.8
"2 of Diamonds, 8 of Diamonds",14.1,2.3,83.5
"2 of Diamonds, 9 of Diamonds",15.2,2.4,82.5
"2 of Diamonds, 10 of Diamonds",16.4,2.8,80.9
"2 of Diamonds, J of Diamonds",18.3,2.9,78.8
"2 of Diamonds, Q of Diamonds",20.1,2.7,77.2
"2 of Diamonds, K of Diamonds",23.4,3.1,73.6
"2 of Diamonds, A of Diamonds",29.0,3.8,67.2
"3 of Diamonds, 2 of Diamonds",14.2,2.3,83.6
"3 of Diamonds, 4 of Diamonds",15.7,2.4,82.0
"3 of Diamonds, 5 of Diamonds",16.5,2.3,81.2
"3 of Diamonds, 6 of Diamonds",14.8,2.5,82.7
"3 of Diamonds, 7 of Diamonds",14.7,2.3,83.0
"3 of Diamonds, 8 of Diamonds",14.1,2.4,83.5
"3 of Diamonds, 9 of Diamonds",15.7,2.9,81.4
"3 of Diamonds, 10 of Diamonds",15.4,2.6,82.0
"3 of Diamonds, J of Diamonds",17.8,2.8,79.4
"3 of Diamonds, Q of Diamonds",20.5,2.6,77.0
"3 of Diamonds, K of Diamonds",23.4,3.4,73.2
"3 of Diamonds, A of Diamonds",29.5,4.3,66.3
"4 of Diamonds, 2 of Diamonds",15.0,2.1,83.0
"4 of Diamonds, 3 of Diamonds",15.5,2.4,82.1
"4 of Diamonds, 5 of Diamonds",17.2,2.7,80.1
"4 of Diamonds, 6 of Diamonds",16.2,2.4,81.4
"4 of Diamonds, 7 of Diamonds",15.5,2.6,81.9
"4 of Diamonds, 8 of Diamonds",14.7,2.5,82.9
"4 of Diamonds, 9 of Diamonds",14.7,2.5,82.8
"4 of Diamonds, 10 of Diamonds",15.9,2.8,81.3
"4 of Diamonds, J of Diamonds",18.6,2.9,78.6
"4 of Diamonds, Q of Diamonds",19.9,3.1,77.0
"4 of Diamonds, K of Diamonds",23.6,3.5,72.9
"4 of Diamonds, A of Diamonds",29.1,4.0,66.9
"5 of Diamonds, 2 of Diamonds",14.6,2.4,83.0
"5 of Diamonds, 3 of Diamonds",15.8,2.4,81.8
"5 of Diamonds, 4 of Diamonds",16.6,2.7,80.8
"5 of Diamonds, 6 of Diamonds",17.0,2.8,80.2
"5 of Diamonds, 7 of Diamonds",16.7,2.6,80.7
"5 of Diamonds, 8 of Diamonds",16.7,2.5,80.7
"5 of Diamonds, 9 of Diamonds",16.4,2.5,81.2
"5 of Diamonds, 10 of Diamonds",16.2,3.4,80.4
"5 of Diamonds, J of Diamonds",18.9,2.9,78.2
"5 of Diamonds, Q of Diamonds",20.2,3.1,76.7
"5 of Diamonds, K of Diamonds",24.1,3.5,72.3
"5 of Diamonds, A of Diamonds",29.6,4.0,66.4
"6 of Diamonds, 2 of Diamonds",15.0,2.3,82.7
"6 of Diamonds, 3 of Diamonds",15.5,2.5,82.0
"6 of Diamonds, 4 of Diamonds",16.8,2.4,80.8
"6 of Diamonds, 5 of Diamonds",17.8,2.5,79.7
"6 of Diamonds, 7 of Diamonds",18.3,2.6,79.1
"6 of Diamonds, 8 of Diamonds",17.1,2.9,80.0
"6 of Diamonds, 9 of Diamonds",16.8,3.2,80.0
"6 of Diamonds, 10 of Diamonds",18.2,2.7,79.0
"6 of Diamonds, J of Diamonds",18.7,2.9,78.4
